,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
268242,"Corn Exchange, The",5,0,0,0,2011-10-03,51.400884,-1.322639
268243,Costa,5,5,5,5,2012-01-26,51.4058685303,-1.32587003708
268244,Costa,5,0,5,0,2010-09-16,51.385068,-1.318044
268245,Costa Coffee,5,5,5,5,2011-07-25,51.403239,-1.324128
268246,Costa Coffee,4,10,5,5,2015-01-05,51.402777,-1.256711
268247,Costa Coffee,5,5,0,5,2013-07-19,51.45111,-1.308484
268248,Costa Coffee At Hungerford Garden Centre,3,5,10,10,2014-12-09,51.418411,-1.504755
268249,Costa Coffee At Moto Hospitality,5,5,0,0,2013-07-22,51.426195,-1.034988
268250,"Costa Coffee At Moto Services Reading, Westbound",4,0,10,5,2013-07-18,51.426195,-1.034988
268251,Costa Coffee At Tesco Extra,5,5,5,0,2011-10-19,51.385068,-1.318044
268252,Costcutter,4,0,0,10,2014-10-30,51.409927,-1.261139
268253,Costcutter,4,5,10,5,2014-07-07,51.4518470764,-1.284496665
268254,"Cottage Inn, The",5,5,0,5,2014-11-18,51.413865,-1.220785
268255,Country Cakes & Crafts,4,10,5,5,2013-03-01,,
268256,"Countryman's Kitchen,The",5,0,0,5,2014-01-14,,
268257,Courts Newsagents,5,5,5,5,2014-03-05,51.437418,-1.075279
268258,Cow & Cask,5,0,0,0,2014-12-11,51.398829,-1.324926
268259,"Crab At Chieveley, The",2,10,15,10,2013-07-27,51.4640731812,-1.34568607807
268260,Crabtree Cafe,4,5,5,10,2014-11-07,51.453824,-1.282724
268261,Crabtree Pre School,4,10,5,5,2013-09-18,51.3597412109,-1.00253999233
268262,"Craven Arms,The",5,0,0,0,2014-09-26,51.380795,-1.387753
268263,Creative Cakes by S & S,5,5,0,5,2014-07-21,,
268264,"Crickets, The",5,0,0,0,2014-03-17,51.403314,-1.25909
268265,Crookham Village Stores,3,10,10,10,2013-05-13,51.376363,-1.228117
268266,"Cross Keys, The",3,10,5,10,2013-04-30,51.483433,-1.08731
268267,"Cross Keys,The",3,5,10,10,2015-01-26,51.406004,-1.323396
268268,Crown & Horns Inn,4,5,10,5,2014-10-24,51.52699,-1.290398
268269,"Crown And Garter, The",5,0,0,5,2014-10-17,51.374506,-1.45641
268270,Crown Butchers,3,10,10,10,2014-03-06,51.454308,-1.269462
268271,"Crown Inn, The",3,10,10,10,2013-02-25,51.436988,-1.077791
268272,Crown Mead Stores,5,0,5,0,2013-03-25,51.403421,-1.261805
268273,Crumbdiddili Cakes,5,0,0,5,2013-03-27,,
268274,"Crumbly Cake Company, The",3,10,10,10,2013-04-16,,
268275,Cullen M Beckwith,5,5,5,5,2012-11-13,,
268276,Cullinghood Riding Stables,4,5,5,10,2013-03-05,51.464869,-1.132796
268277,"Cunning Man, The",5,5,0,0,2014-12-28,51.431547,-1.022144
268278,Cupcake - Heaven,5,0,0,0,2012-03-20,,
268279,Cutting Edge Catering @ BCSA Burghfield,3,5,10,10,2013-09-28,51.40415,-1.032016
268280,Dave's Sandwich Bar,4,5,10,0,2013-09-11,51.403421,-1.261805
268281,"Days Inn At Welcome Break Membury Services, Westbound",5,0,0,0,2014-09-08,51.480538,-1.557623
268282,Debenhams,5,5,0,0,2013-12-09,51.4058685303,-1.32587003708
268283,Deborah Tomlinson,5,0,0,0,2013-03-05,,
268284,Delicious Dial a Cake,5,5,0,0,2014-07-15,,
268285,Delta Polish Foods Ltd,3,5,10,10,2014-09-27,51.397511,-1.327101
268286,DeVere Venues At Wokefield Park,5,0,0,0,2014-02-02,51.385856,-1.030433
268287,Devonia Bakery,4,5,10,5,2014-09-27,51.508702,-1.530492
268288,"Diamond Tap, The",5,5,0,0,2013-01-23,51.399614,-1.322226
268289,Dimensions,5,5,5,5,2014-02-18,51.401331,-1.064751
268290,Dimensions,5,5,0,5,2012-05-10,51.396803,-1.318171
268291,Dimensions,5,5,5,0,2012-07-23,51.392559,-1.309007
268292,Dimensions,5,5,0,0,2015-01-20,51.384338,-1.311688
268293,Dine Contract Catering Ltd At Pepsico,5,0,0,0,2013-02-07,51.396583,-1.074601
268294,Dine Contract Catering Ltd At Pepsico,5,0,0,0,2013-02-06,51.435621,-1.066396
268295,Document House,3,10,10,10,2014-02-02,51.401344,-1.322919
268296,"Dolphin, The",4,10,5,5,2013-07-18,51.398827,-1.326104
268297,Domino's Pizza,3,10,5,10,2013-11-18,51.405405,-1.32539
268298,Donnington Grove Hotel & Country Club,5,5,5,5,2014-03-01,51.417651,-1.339619
268299,"Donnington Residential And Nursing Home, The",4,10,5,5,2014-03-17,51.42529,-1.332519
268300,Donnington Valley Golf Club,4,5,5,10,2014-11-10,51.429267,-1.331425
268301,Donnington Valley Hotel & Golf,5,5,5,5,2013-06-18,51.421651,-1.328286
268302,Douai Abbey,5,0,5,0,2013-03-05,51.4095802307,-1.17181432247
268303,Down Farm Meat (Illsley Chieveley Ltd),5,0,0,0,2013-05-15,51.472298,-1.309142
268304,Downe House School,5,0,5,0,2013-11-06,51.43673,-1.273972
268305,"Downgate, The",0,20,20,20,2014-08-29,51.413711,-1.511938
268306,"Downs School, The",3,10,5,10,2014-11-13,51.513824,-1.253725
268307,Dram Room,Exempt,nan,nan,nan,2004-11-11,51.398898,-1.321389
268308,"Dundas Arms, The",4,10,5,5,2013-06-11,51.400432,-1.447291
